CBSA,CO,Cluster,NO2,OZONE,PM10,PM25_FRMFEM,SO2
"Baton Rouge, LA",0.247223925208,0,7.09300096727,0.0261652306506,27.8017241379,10.523563778,3.17378124758
"Chicago-Naperville-Joliet, IL-IN-WI",0.465238037202,0,18.2739661025,0.0281584581935,23.5600275198,12.8229706063,2.25264140469
"Davenport-Moline-Rock Island, IA-IL",0.222915304469,0,8.4671569621,0.0283239873897,32.3081155433,12.2341810783,0.518919040698
"Denver-Aurora, CO",0.434786807422,0,22.3186249142,0.0346573312398,26.0293240557,7.39833333333,1.33509233192
"El Centro, CA",0.684567863046,0,9.50421941791,0.0298659089082,32.5016611296,9.47248803828,0.4837513
"El Paso, TX",0.361380372638,0,14.7103519661,0.0278245463392,27.3684598379,10.0462427746,0.477578282236
"Fresno, CA",0.343574217031,0,9.83390494147,0.0300995858441,27.8313953488,11.666176426,0.748682172603
"Indianapolis-Carmel, IN",0.453727760098,0,12.7055926267,0.031117406865,24.8687258687,14.6524791006,3.19606173333
"Kansas City, MO-KS",0.408404830137,0,9.01814028009,0.0311231554054,26.5384615385,10.2157057011,3.96489345799
"Los Angeles-Long Beach-Santa Ana, CA",0.43317750738,0,18.1959900408,0.0253036358859,24.0963284643,10.8963651384,0.744200688202
"Minneapolis-St. Paul-Bloomington, MN-WI",0.379890721566,0,8.60453508605,0.0283830187688,25.0766423358,9.19555084746,0.455252638444
"New York-Northern New Jersey-Long Island, NY-NJ-PA",0.39493703795,0,15.7961565482,0.0285767024513,27.4851485149,9.60025593299,2.08563416602
"Ogden-Clearfield, UT",0.493194778243,0,15.4841691423,0.0304201646154,24.7874396135,9.13953900709,0.773390567123
"Phoenix-Mesa-Scottsdale, AZ",0.467466694915,0,16.5597633608,0.0332571310837,35.9598051157,8.36925082903,1.32638165565
"Riverside-San Bernardino-Ontario, CA",0.381687532959,0,14.12997025,0.0350849274247,29.4211448598,11.0965357526,1.04827341866
"Salt Lake City, UT",0.393388394444,0,16.8397365566,0.0329037653722,32.6859605911,9.51511111111,2.80558636231
"San Diego-Carlsbad-San Marcos, CA",0.547702481095,0,13.035015287,0.0294114650644,23.9622641509,5.56408160406,1.125664045
"St. Louis, MO-IL",0.335147176423,0,9.2643811432,0.0306645046779,25.6830835118,12.0451349524,4.02692328363
"Tucson, AZ",0.350459439142,0,10.8242731989,0.032696644155,24.209292591,5.08438818565,0.470494480263
"Atlanta-Sandy Springs-Marietta, GA",0.31446663578,1,6.76288457091,0.0290734801247,18.226640159,12.565564478,1.76367937445
"Charleston-North Charleston, SC",0.0787900033557,1,4.7573252153,0.0280762580645,17.4269340974,9.51478953356,0.83026442524
"Columbia, SC",0.283123596491,1,5.33252489766,0.0271533401361,19.9669187146,11.2561342593,1.11795654049
"Dallas-Fort Worth-Arlington, TX",0.298436951332,1,7.42753024596,0.0287685021472,22.1324786325,10.1454545455,0.588154389655
"Duluth, MN-WI",0.458500764384,1,1.80083982466,0.0302335159574,21.7885714286,5.66628571429,0.151098465753
"Eureka-Arcata-Fortuna, CA",0.317403747945,1,2.62485428219,0.0228396346154,17.7541899441,5.90340909091,1.29455263014
"Harrisburg-Carlisle, PA",0.319452054795,1,6.80778707607,0.0284569497645,16.7444444444,12.8379238691,2.85009334943
"Honolulu, HI",0.339277328767,1,2.6248878674,0.0204122684932,15.359527121,5.82602626903,1.0665558758
"Miami-Fort Lauderdale-Pompano Beach, FL",0.394467628094,1,6.43259946332,0.0270258368342,17.330206379,7.08920772059,0.403684384045
"Oklahoma City, OK",0.318413235616,1,7.76512434091,0.031124267634,21.6685082873,9.12466216216,0.770320542373
"Orlando-Kissimmee, FL",0.397128631868,1,5.71066766111,0.0276803572612,15.6384892086,7.52835820896,0.156410147945
